word,word count,
gonna,9,собирается
doing,4,дела
gotta,4,должен
spoon,4,ложка
gravy,3,подливка
fifth,3,пятый
sure,3,конечно
stairs,3,лестница
actually,3,фактически
since,3,поскольку
wedding,3,свадьба
difference,2,разница
amazing,2,удивительно
hearing,2,слух
cream,2,кремовый цвет
although,2,несмотря на то что
serving,2,порция
kidding,2,ребячество
brackety,2,brackety
thought,2,подумал
aruba,2,Aruba
aura,2,аура
wooden,2,деревянный
hungry,2,голодный
honeymoon,2,Медовый месяц
spit,1,вертел
cleansing,1,очищающий
albino,1,альбинос
fixating,1,фиксирующий
jimmies,1,jimmies
authority,1,орган власти
decision,1,решение
port,1,порт
hurting,1,больно
excited,1,в восторге
flavors,1,ароматизаторы
windshields,1,дворники
headed,1,двуглавый
whatsoever,1,что бы ни
trained,1,обученный
sweet,1,сладкий
drifted,1,дрейфовали
hoping,1,надеясь
buzz,1,жужжание
guessing,1,угадывание
er,1,эр
freezer,1,морозилка
socks,1,носки
screwed,1,пьяный
laughed,1,смеялись
honestly,1,честно говоря
las,1,лас
congratulations,1,Поздравляю
caught,1,пойманный
marco,1,марко
doorbells,1,Дверные звонки
someone,1,кто то
minnelli,1,Минелли
abuse,1,злоупотребление
upbeat,1,приподнятый
geppeto,1,geppeto
charles,1,Чарльз
minister,1,министр
lizards,1,ящериц
valuable,1,ценный
mess,1,беспорядок
noodles,1,лапша
intestine,1,кишка
stepdad,1,отчим
bought,1,купленный
wee,1,крошечный
revelation,1,открытие
exactly,1,именно так
chachi,1,Chachi
bridesmaids,1,подружки
geeky,1,вызывающим
feet,1,ноги
hammer,1,молоток
dentist,1,Дантист
lawful,1,законный
severe,1,суровый
horrible,1,какой ужас
wondering,1,интересно
hump,1,горб
survivor,1,уцелевший
surprisingly,1,как ни странно
scary,1,страшно
whiskers,1,бакенбарды
purse,1,кошелек
freaked,1,испещренный
tied,1,связанный
spell,1,заклинание
diary,1,дневник
whipped,1,взбитые
pants,1,штаны
snap,1,щелчок
decaf,1,без кофеина
weird,1,странный
totally,1,полностью
bookcase,1,книжный шкаф
major,1,главный
attach,1,прикреплять
bunch,1,гроздь
roses,1,розы
accidentally,1,случайно
sleigh,1,санки
strip,1,полоса
apart,1,Кроме
hers,1,ее
carl,1,деревенщина
breaking,1,ломка
dough,1,тесто
sucks,1,отстой
kittens,1,котята
favorite,1,любимый
horny,1,роговой
issue,1,вопрос
own,1,своя
gorgeous,1,великолепный
interviews,1,интервью
matters,1,вопросы
doubt,1,сомнение
couch,1,диван
flavor,1,аромат
glad,1,рад
limoges,1,Лимож
feelings,1,чувства
naked,1,обнаженный
established,1,установленный
unless,1,если
hanger,1,вешалка
unfortunately,1,к несчастью
hormones,1,гормоны
hitting,1,ударять
eyelashes,1,ресницы
mittens,1,рукавицы
chalk,1,мел
factor,1,фактор
pipe,1,труба
regional,1,региональный
sweetie,1,милая
vulnerability,1,уязвимость
side,1,сторона
prison,1,тюрьма
instead,1,вместо
raindrops,1,капли дождя
crash,1,авария
metaphor,1,метафора
sophisticated,1,утонченный
smashed,1,разбили
independence,1,независимость
vanilla,1,ваниль
calm,1,спокойный
neck,1,шея
